"title","summary","what","where","when","tags","edges","alias"
"Community Matching","Development of an ""Ecotype Quiz,"" a personality-based community matching system designed to optimize user engagement.","Ecodia developed Ecotype Quiz - personality-based community matching system for optimal engagement","Sunshine Coast","2025-07-02","community-matching, personality, ecotypes","[{""to_id"":""@alias:user_experience_20250702"",""label"":""ENHANCES"",""note"":""A specific tool to enact the personalized 'Choose Your Journey' concept.""}]","community_matching_20250702"
"Collaboration Platform","Maintenance of Google Workspace as the core team collaboration platform, ensuring continued operational efficiency.","Ecodia maintains Google Workspace integration as core team collaboration platform - operational efficiency maintained","Google Workspace","2025-07-03","collaboration, google-workspace, team-system","[{""to_id"":""@alias:operational_structure_20250228"",""label"":""MAINTAINS"",""note"":""Confirms the ongoing use of established operational systems.""}]","collaboration_platform_20250703"
"Project Management","Continued utilization of ClickUp for task management, project tracking, and team accountability.","Ecodia utilises ClickUp task management for project tracking and accountability - operational structure maintained","ClickUp","2025-07-03","project-management, clickup, accountability","[{""to_id"":""@alias:operational_structure_20250228"",""label"":""MAINTAINS"",""note"":""Confirms the ongoing use of established operational systems.""}]","project_management_20250703"
"Content Strategy","Maintenance of a consistent Instagram content strategy, posting daily with an authentic storytelling approach.","Ecodia maintains Instagram content strategy with 1 post/day authentic storytelling approach - consistent brand presence","Instagram","2025-07-03","content-strategy, instagram, storytelling","[{""to_id"":""@alias:team_expansion_20250301"",""label"":""MAINTAINS"",""note"":""Confirms ongoing social media strategy.""}]","content_strategy_instagram_20250703"
"Communication Strategy","Operation of a targeted newsletter with regional lists for Brisbane, Gold Coast, Sunshine Coast, and Northern Rivers.","Ecodia operates newsletter with regional lists (Brisbane, Gold Coast, Sunshine Coast, Northern Rivers) - targeted communication","Sunshine Coast","2025-07-03","communication, newsletter, regional-targeting","[]","communication_strategy_20250703"
"Volunteer Management","Management of the volunteer system through Google Sheets, with a badge system in development for gamified engagement.","Ecodia manages volunteer system through Google Sheets with badge system in development - community engagement structure","Google Sheets","2025-07-03","volunteer-management, badges, community","[{""to_id"":""@alias:gamification_20250420"",""label"":""EXPANDS_ON"",""note"":""Applies gamification principles to volunteer management.""}]","volunteer_management_20250703"
"Brand Identity","Maintenance of a CSS Brand Kit with over 80 classes to ensure a consistent and professional visual identity across all platforms.","Ecodia maintains CSS Brand Kit with 80+ classes for consistent visual identity - professional brand presentation","Sunshine Coast","2025-07-03","brand-identity, css, visual-consistency","[{""to_id"":""@alias:brand_evolution_20250509"",""label"":""MAINTAINS"",""note"":""A technical implementation of the brand's identity.""}]","brand_identity_20250703"
"Messaging Evolution","Evolution of the core slogan from ""Write History With Us"" to ""Rightfully Ours,"" reflecting a maturation to an ownership mindset.","Ecodia evolved from ""Write History With Us"" to ""Rightfully Ours"" slogan - messaging maturation reflecting ownership mindset","Sunshine Coast","2025-07-03","messaging-evolution, slogan, ownership","[{""to_id"":""@alias:brand_evolution_20250509"",""label"":""EVOLVED_FROM"",""note"":""The slogan matures to reflect a stronger stance.""}]","messaging_evolution_20250703"
"Communication Framework","Establishment of the ""North Star"" messaging framework, focusing on consciousness-to-consciousness communication for authentic influence.","Ecodia established North Star messaging framework - consciousness-to-consciousness communication for authentic influence","Sunshine Coast","2025-07-03","communication-framework, influence, authenticity","[{""to_id"":""@alias:messaging_evolution_20250703"",""label"":""FORMALIZES"",""note"":""Creates a formal framework for the new messaging style.""}]","communication_framework_20250703"
"Content Philosophy","Implementation of an authentic storytelling methodology, prioritizing raw truth over eloquent wording for genuine connection.","Ecodia implemented authentic storytelling methodology - raw truth over eloquent wording for genuine connection","Sunshine Coast","2025-07-03","content-philosophy, storytelling, authenticity","[{""to_id"":""@alias:communication_framework_20250703"",""label"":""DEFINES"",""note"":""The core philosophy behind the North Star framework.""}]","content_philosophy_20250703"
